2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/widget-button-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/css/widget-button.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/css/widget-richText.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/navigationView/widget-navigationView.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/navigationView/widget-navigationView-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/navigationView/css/widget-navigationView.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/list/widget-list.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/list/widget-list-conf.js no change on TS : 2014-10-08T14:53:42.000Z
